Date,Station,Depth_ft,Parameter,Value,Units
8/27/2011,LCO4,0,Temperature,73.8,DegF
8/27/2011,LCO4,3.280839895,Temperature,73.8,DegF
8/27/2011,LCO4,6.56167979,Temperature,72.9,DegF
8/27/2011,LCO4,9.842519685,Temperature,72.5,DegF
8/27/2011,LCO4,13.12335958,Temperature,72.3,DegF
8/27/2011,LCO4,16.40419948,Temperature,72.1,DegF
8/27/2011,LCO4,19.68503937,Temperature,72.1,DegF
8/27/2011,LCO4,22.96587927,Temperature,72,DegF
8/27/2011,LCO4,26.24671916,Temperature,72,DegF
8/27/2011,LCO4,29.52755906,Temperature,71.2,DegF
8/27/2011,LCO4,32.80839895,Temperature,70.3,DegF
8/27/2011,LCO4,39.37007874,Temperature,61.5,DegF
8/27/2011,LCO4,45.93175853,Temperature,57.7,DegF
8/27/2011,LCO4,52.49343832,Temperature,55.4,DegF
8/27/2011,LCO4,59.05511811,Temperature,54.1,DegF
8/27/2011,LCO4,65.6167979,Temperature,53.4,DegF
8/27/2011,LCO4,72.17847769,Temperature,53.4,DegF
8/13/2012,LCO4,1,Temperature,73.7,DegF
8/13/2012,LCO4,10,Temperature,72.7,DegF
8/13/2012,LCO4,20,Temperature,72.5,DegF
8/13/2012,LCO4,28,Temperature,72.3,DegF
8/13/2012,LCO4,30,Temperature,69.2,DegF
8/13/2012,LCO4,33,Temperature,62.9,DegF
8/13/2012,LCO4,36,Temperature,59.8,DegF
8/13/2012,LCO4,40,Temperature,56.7,DegF
8/13/2012,LCO4,45,Temperature,53.9,DegF
8/13/2012,LCO4,50,Temperature,52,DegF
8/13/2012,LCO4,60,Temperature,50.7,DegF
8/13/2012,LCO4,70,Temperature,49.9,DegF
8/13/2012,LCO4,80,Temperature,49.5,DegF
8/13/2012,LCO4,89,Temperature,49.3,DegF
9/10/2013,LCO4,1,Temperature,71.6,DegF
9/10/2013,LCO4,28,Temperature,71.6,DegF
9/10/2013,LCO4,31.4,Temperature,62.7,DegF
9/10/2013,LCO4,39.6,Temperature,51.8,DegF
